fecha,isla,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin,hrMedia,hrMax,hrMin
2021-01-11,EL HIERRO,17.7,0.0,16.6,18.8,36.0,8.3,16.1,5.4,1022.1,1019.4,58.0,72.0,52.0
2021-01-11,GRAN CANARIA,16.0,2.0,13.5,18.6,3.0,6.4,14.4,5.3,1019.7,1016.9,69.0,89.0,50.0
2021-01-11,LANZAROTE,15.2,1.2,11.8,18.7,99.0,6.4,13.9,5.9,1022.2,1018.9,71.0,96.0,57.0
2021-01-11,LA PALMA,16.8,0.7,14.2,19.3,1.0,6.9,16.4,6.1,1021.3,1018.1,58.0,83.0,48.0
2021-01-11,FUERTEVENTURA,16.0,0.2,12.9,19.2,35.0,5.0,14.4,4.0,1021.1,1018.1,69.0,82.0,53.0
2021-01-11,TENERIFE,16.6,2.8,14.3,19.0,36.0,3.3,10.6,4.3,1021.4,1018.5,57.0,83.0,42.0
2021-01-12,TENERIFE,17.2,4.2,14.0,20.3,34.0,2.5,8.6,5.0,1022.6,1019.4,65.0,84.0,49.0
2021-01-12,LA PALMA,16.0,2.5,13.9,18.0,99.0,5.3,13.3,0.2,1022.8,1019.1,64.0,86.0,56.0
2021-01-12,LANZAROTE,15.6,0.4,12.0,19.2,6.0,4.7,8.9,3.6,1024.3,1021.1,69.0,85.0,53.0
2021-01-12,LA GOMERA,17.2,0.1,14.3,20.0,33.0,3.6,12.8,3.6,1001.0,997.0,51.0,62.0,43.0
2021-01-12,EL HIERRO,18.1,0.0,17.1,19.1,99.0,7.8,11.4,5.1,1023.4,1020.2,65.0,73.0,55.0
2021-01-12,FUERTEVENTURA,16.6,0.0,13.8,19.3,3.0,6.1,11.7,2.8,1022.8,1019.8,66.0,84.0,48.0
2021-01-12,GRAN CANARIA,15.9,0.7,13.1,18.7,99.0,6.1,12.8,5.7,1021.4,1018.1,82.0,92.0,50.0
2021-01-13,EL HIERRO,18.4,0.0,17.8,19.1,99.0,10.3,13.9,5.3,1025.3,1022.1,63.0,70.0,52.0
2021-01-13,LA PALMA,17.0,0.0,14.8,19.3,99.0,6.7,11.4,3.6,1024.6,1021.5,61.0,74.0,53.0
2021-01-13,LA GOMERA,17.4,0.0,14.7,20.1,6.0,3.1,11.9,8.5,1002.5,999.6,58.0,69.0,50.0
2021-01-13,GRAN CANARIA,17.3,0.0,14.8,19.8,3.0,8.1,12.8,7.6,1023.4,1020.3,63.0,85.0,53.0
2021-01-13,TENERIFE,17.2,0.05,14.2,20.2,4.0,2.5,8.6,5.0,1025.1,1021.8,64.0,92.0,49.0
2021-01-13,LANZAROTE,15.8,0.0,11.2,20.5,1.0,4.2,8.9,8.9,1026.6,1023.5,62.0,85.0,44.0
2021-01-13,FUERTEVENTURA,17.6,0.0,15.1,20.1,99.0,5.0,11.4,8.8,1025.2,1022.2,55.0,76.0,32.0
2021-01-14,EL HIERRO,19.0,0.0,17.8,20.3,4.0,7.8,13.3,7.8,1026.4,1023.2,58.0,68.0,49.0
2021-01-14,LA GOMERA,17.6,0.0,15.0,20.3,6.0,3.3,10.8,5.5,1003.2,1000.4,49.0,67.5,49.0
2021-01-14,LA PALMA,17.8,1.0,15.0,20.5,99.0,5.0,11.7,3.3,1025.3,1022.4,60.0,72.0,47.0
2021-01-14,GRAN CANARIA,17.4,0.05,14.7,20.1,3.0,5.6,12.5,3.9,1024.5,1021.6,61.0,75.0,50.0
2021-01-14,TENERIFE,17.2,0.0,14.6,19.9,8.0,2.5,8.1,1.5,1025.8,1022.8,64.0,72.0,51.0
2021-01-14,FUERTEVENTURA,17.2,0.0,14.2,20.1,3.0,7.2,14.4,5.8,1026.5,1023.5,61.0,76.0,51.0
2021-01-14,LANZAROTE,16.0,0.0,12.2,19.8,99.0,6.1,10.8,6.3,1027.9,1024.8,65.0,85.0,46.0
2021-01-15,GRAN CANARIA,18.0,0.0,16.0,19.9,99.0,9.7,15.0,2.2,1023.2,1019.8,58.0,68.0,48.0
2021-01-15,FUERTEVENTURA,18.1,0.0,16.4,19.8,3.0,8.3,14.4,1.7,1024.5,1021.6,57.0,69.0,47.0
2021-01-15,EL HIERRO,17.7,0.0,16.3,19.1,99.0,9.2,13.9,4.7,1025.3,1021.8,61.0,70.0,52.0
2021-01-15,TENERIFE,17.9,0.0,16.4,19.4,6.0,2.2,10.3,0.2,1024.9,1021.5,58.0,69.0,47.0
2021-01-15,LA PALMA,17.0,0.0,15.6,18.4,4.0,6.1,12.5,0.4,1024.5,1021.3,61.0,81.0,49.0
2021-01-15,LA GOMERA,16.9,0.0,14.2,19.6,35.0,4.2,10.8,7.6,1002.2,998.6,55.0,66.0,48.0
2021-01-15,LANZAROTE,17.6,0.0,15.1,20.1,99.0,6.7,12.5,1.8,1025.8,1023.1,59.0,68.0,47.0
2021-01-16,TENERIFE,19.0,0.0,16.8,21.2,9.0,3.1,10.3,6.2,1023.1,1020.1,59.0,65.0,51.0
2021-01-16,EL HIERRO,19.2,0.0,17.6,20.8,3.0,5.8,15.0,6.7,1023.3,1020.3,58.0,71.0,49.0
2021-01-16,GRAN CANARIA,18.0,0.0,15.5,20.6,2.0,8.6,13.3,8.7,1021.6,1018.7,60.0,69.0,48.0
2021-01-16,FUERTEVENTURA,18.4,0.0,16.5,20.4,99.0,8.9,13.9,6.7,1023.2,1020.5,64.0,70.0,53.0
2021-01-16,LA PALMA,18.5,0.0,16.5,20.5,33.0,5.3,11.7,3.5,1022.5,1019.8,62.0,76.0,46.0
2021-01-16,LANZAROTE,17.2,0.0,13.8,20.6,3.0,5.8,15.0,7.3,1024.0,1021.9,60.0,77.0,50.0
2021-01-16,LA GOMERA,16.8,0.0,13.6,19.9,34.0,3.9,10.8,8.7,1000.5,997.3,59.0,75.0,52.0
2021-01-17,LANZAROTE,16.7,0.0,13.3,20.1,5.0,3.9,8.9,8.2,1025.0,1021.9,69.0,87.0,59.0
2021-01-17,GRAN CANARIA,17.7,0.0,15.5,19.9,99.0,5.8,11.4,8.9,1022.1,1019.1,61.0,73.0,54.0
2021-01-17,LA PALMA,18.8,0.0,16.9,20.6,29.0,4.2,10.8,1.8,1022.6,1019.7,61.0,69.0,48.0
2021-01-17,LA GOMERA,17.8,0.0,13.2,22.5,23.0,2.8,9.7,9.4,1000.9,998.0,65.0,75.0,56.0
2021-01-17,TENERIFE,18.0,0.0,15.3,20.6,6.0,2.5,7.5,6.2,1023.0,1020.6,58.0,73.0,52.0
2021-01-17,EL HIERRO,18.6,0.0,17.0,20.3,99.0,4.2,11.7,5.6,1023.5,1021.0,60.0,70.0,52.0
2021-01-17,FUERTEVENTURA,17.3,0.0,14.8,19.8,99.0,5.0,10.8,6.1,1023.9,1020.7,66.0,81.0,58.0
2021-01-18,LA PALMA,17.8,0.0,16.2,19.3,27.0,4.2,7.8,0.6,1022.1,1019.6,64.0,72.0,58.0
2021-01-18,LANZAROTE,16.0,0.0,11.7,20.3,99.0,3.6,6.1,9.6,1025.0,1022.5,72.0,91.0,61.0
2021-01-18,GRAN CANARIA,17.4,0.0,14.9,19.8,5.0,3.6,7.2,9.6,1021.7,1019.3,70.0,80.0,59.0
2021-01-18,TENERIFE,17.2,0.0,14.0,20.5,10.0,3.1,6.4,9.1,1022.8,1020.4,66.0,75.0,57.0
2021-01-18,FUERTEVENTURA,16.0,0.0,12.5,19.6,32.0,3.1,6.1,9.5,1023.9,1021.2,73.0,86.0,62.0
2021-01-18,LA GOMERA,16.6,0.0,13.3,20.0,21.0,3.1,8.3,9.7,1000.6,997.8,60.0,77.0,53.0
2021-01-18,EL HIERRO,17.7,0.0,15.8,19.6,99.0,3.6,8.3,8.4,1023.4,1020.9,65.0,71.0,60.0
