isla,fecha,numero_casos,ia_7dias,ia_14dias,pcr_total,pcr_positivos,pcr_porcentaje_positivos,pcr_porcentaje_positivos_7dias,Urg_ingr,Urg_cv,HPT_cv19,HPT_nocv19,CCR_cv19,CCR_nocv19,CSR_cv19,CSR_nocv19,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin,hrMedia,hrMax,hrMin
FUERTEVENTURA,2021-01-07,15,61.804697156983934,82.68466241272175,126,23,18.253968253968253,7.692307692307693,17,2,4,94,0,3,0,0,21.9,2.5,19.2,24.6,23.0,9.2,20.0,4.6,1004.3,1000.9,76.0,88.0,63.0
GRAN CANARIA,2021-01-07,75,64.98963789316686,108.47191360586122,1163,94,8.082545141874462,7.966872739997667,170,13,81,1544,16,84,0,23,21.6,21.4,18.7,24.5,21.0,7.5,21.7,6.6,1001.9,997.7,75.0,96.0,52.0
LA GOMERA,2021-01-08,3,23.064858381769536,69.1945751453086,179,6,3.35195530726257,5.583756345177665,1,0,1,17,0,0,0,0,16.5,0.4,13.7,19.3,28.0,3.3,14.4,7.0,991.8,979.3,63.0,84.0,53.0
FUERTEVENTURA,2021-01-08,29,65.98069020813149,91.8718471252464,285,38,13.333333333333334,8.480565371024735,11,1,2,87,0,5,0,0,18.6,1.5,16.0,21.2,99.0,7.8,20.0,5.2,1012.2,999.3,72.0,84.0,58.0
GRAN CANARIA,2021-01-08,148,62.301217620607794,111.394109554295,2060,184,8.932038834951456,7.804122483021565,207,7,81,1552,16,82,0,8,17.7,3.9,14.3,21.1,23.0,5.8,16.9,4.2,1011.1,997.5,68.0,90.0,52.0
TENERIFE,2021-01-08,92,65.69000348910838,165.19420549556108,2524,140,5.54675118858954,8.007483629560337,162,12,143,1388,35,47,0,12,17.6,43.9,14.4,20.8,33.0,5.0,15.0,1.3,1012.7,998.0,72.0,84.0,60.0
LANZAROTE,2021-01-08,25,139.27040279310964,187.40533463404617,557,34,6.104129263913825,10.875331564986736,18,2,4,116,2,6,0,0,16.9,4.8,13.5,20.3,99.0,7.2,16.9,7.4,1013.0,1000.2,78.0,95.0,66.0
EL HIERRO,2021-01-08,2,143.5363775006728,224.2755898448013,56,2,3.571428571428572,12.83422459893048,0,0,3,11,0,0,0,0,17.2,7.8,14.7,19.7,31.0,9.4,18.6,3.3,1014.6,1002.0,67.0,84.0,56.0
LA PALMA,2021-01-08,9,15.576697260897696,47.928299264300605,255,12,4.705882352941177,4.790419161676646,18,0,0,132,0,5,0,0,16.7,0.3,13.2,20.2,36.0,7.5,20.6,5.1,1012.7,998.4,66.0,84.0,53.0
GRAN CANARIA,2021-01-09,109,72.35357168321993,123.78422037565412,1593,109,6.842435655994978,8.064857990674014,90,4,77,1554,20,71,0,2,16.0,0.4,13.5,18.5,8.0,6.7,18.9,8.4,1017.5,1010.7,58.0,78.0,43.0
EL HIERRO,2021-01-09,0,161.47842468825692,242.2176370323854,27,0,0.0,10.743801652892564,0,0,3,11,0,0,0,0,16.6,0.1,15.0,18.3,99.0,10.3,16.9,2.9,1020.6,1014.3,60.0,72.0,50.0
LA PALMA,2021-01-09,4,26.36056459536533,58.71216659876824,222,15,6.756756756756757,4.842615012106537,6,0,0,129,0,4,0,0,15.1,1.3,12.4,17.8,2.0,7.5,20.6,7.0,1018.8,1012.6,63.0,81.0,44.0
LA GOMERA,2021-01-09,5,36.903773410831256,83.03349017437033,63,5,7.936507936507937,4.336043360433604,0,0,1,15,0,0,0,0,14.7,2.0,12.3,17.1,6.0,5.0,15.6,8.4,997.8,991.1,58.0,75.0,50.0
LANZAROTE,2021-01-09,62,146.330192796447,197.67412009344596,556,65,11.690647482014388,10.22117962466488,20,2,6,131,2,5,0,0,14.2,4.3,11.1,17.4,34.0,4.2,16.9,6.4,1018.9,1012.8,72.0,100.0,57.0
FUERTEVENTURA,2021-01-09,30,89.36625129455784,114.42220960144324,291,39,13.402061855670103,9.595959595959595,10,0,1,86,0,5,0,0,15.6,1.0,12.4,18.9,35.0,6.9,14.4,6.1,1018.1,1011.9,71.0,86.0,46.0
TENERIFE,2021-01-09,73,68.38221674685873,163.36350048029084,1938,102,5.263157894736843,7.26875808538163,84,8,147,1352,36,43,0,12,15.8,8.9,13.2,18.3,34.0,6.1,15.8,6.1,1018.9,1012.4,58.0,82.0,50.0
TENERIFE,2021-01-10,63,67.30533144375859,162.93274635905078,824,83,10.072815533980584,6.725386280510562,123,9,152,1443,36,40,0,14,17.4,4.7,14.5,20.4,32.0,4.2,13.9,7.4,1020.7,1017.6,63.0,77.0,44.0
FUERTEVENTURA,2021-01-10,7,111.08141516052515,137.80777068786958,132,9,6.818181818181818,10.359801488833748,6,0,1,86,0,4,0,0,16.8,1.5,13.7,19.9,33.0,6.7,15.0,6.1,1019.3,1016.3,64.0,90.0,49.0
LANZAROTE,2021-01-10,54,165.5841655328216,234.8984673837702,606,62,10.231023102310232,10.096004955094456,25,9,14,146,3,5,0,0,15.5,1.6,12.5,18.5,32.0,7.5,18.1,8.1,1020.4,1017.0,82.0,97.0,58.0
LA PALMA,2021-01-10,1,27.558772076972847,61.10858156198327,159,5,3.144654088050315,4.591439688715953,15,0,0,135,0,5,0,0,16.4,0.5,13.5,19.3,99.0,9.7,18.9,7.5,1020.1,1016.7,63.0,77.0,48.0
EL HIERRO,2021-01-10,6,161.47842468825692,233.24661343859336,59,7,11.864406779661016,11.304347826086955,0,0,2,11,0,0,0,0,17.8,0.4,16.2,19.4,34.0,8.1,17.5,4.5,1022.2,1018.7,66.0,82.0,51.0
LA GOMERA,2021-01-10,0,55.35566011624689,101.48537687978596,10,0,0.0,4.819277108433735,3,0,1,18,0,0,0,0,16.0,0.5,13.1,19.0,3.0,3.1,12.8,8.7,998.8,995.9,60.0,77.0,48.0
GRAN CANARIA,2021-01-10,104,77.73041222833805,131.96636903126867,1271,125,9.83477576711251,7.904085257548846,127,12,86,1577,20,72,0,12,16.9,1.3,13.6,20.2,9.0,7.2,16.1,8.6,1018.6,1015.6,64.0,89.0,40.0
LANZAROTE,2021-01-11,87,187.40533463404617,264.42122557954457,611,96,15.711947626841244,10.22823330515638,37,1,18,145,3,5,0,0,15.2,1.2,11.8,18.7,99.0,6.4,13.9,5.9,1022.2,1018.9,71.0,96.0,57.0
