isla,fecha,numero_casos,ia_7dias,ia_14dias,pcr_total,pcr_positivos,pcr_porcentaje_positivos,pcr_porcentaje_positivos_7dias,Urg_ingr,Urg_cv,HPT_cv19,HPT_nocv19,CCR_cv19,CCR_nocv19,CSR_cv19,CSR_nocv19,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin,hrMedia,hrMax,hrMin
LA PALMA,2021-07-10,16,97.05480601020872,104.24405089985382,300,20,6.666666666666667,5.417867435158501,10,1,1,116,0,4,0,0,22.0,0.0,20.2,23.9,3.0,8.1,16.4,7.5,1012.0,1007.9,76.0,88.0,65.0
FUERTEVENTURA,2021-07-10,30,132.7965790264925,240.5371997460996,370,34,9.18918918918919,6.267806267806268,9,0,0,84,0,5,0,0,25.2,0.0,21.7,28.8,33.0,8.1,12.5,8.9,1010.4,1006.9,65.0,81.0,52.0
LA GOMERA,2021-07-11,3,50.74268843989298,64.5816034689547,20,4,20.0,8.241758241758241,4,1,1,20,0,0,0,0,22.2,0.0,19.8,24.6,8.0,1.9,6.7,6.4,990.6,987.4,76.0,87.0,68.0
TENERIFE,2021-07-11,241,192.9778463155446,344.92636258297404,2031,270,13.293943870014772,9.873441280476456,123,14,113,1598,24,53,0,10,24.2,0.0,20.8,27.6,19.0,2.5,8.1,9.1,1011.8,1008.1,73.0,81.0,58.0
EL HIERRO,2021-07-11,0,143.5363775006728,251.18866062617744,4,0,0.0,8.270676691729323,1,0,0,13,0,0,0,0,22.8,0.0,21.0,24.5,34.0,6.1,13.3,5.2,1012.6,1009.7,74.0,87.0,69.0
LANZAROTE,2021-07-11,3,21.179370010012065,48.776730932149,243,3,1.234567901234568,1.898188093183779,16,0,1,171,0,0,0,1,24.0,0.0,19.8,28.3,99.0,2.5,15.0,5.0,1014.8,1010.0,77.0,87.0,61.0
GRAN CANARIA,2021-07-11,126,100.7573163019961,147.27867580106158,1690,138,8.165680473372781,7.586830407594364,125,4,34,1637,6,78,0,2,23.5,0.0,20.5,26.5,99.0,9.2,16.4,7.4,1010.9,1006.3,70.0,86.0,61.0
LA PALMA,2021-07-11,12,116.22612571592896,121.01895564235905,275,12,4.363636363636363,5.833763551884357,5,0,1,117,0,4,0,0,23.2,0.0,21.0,25.4,3.0,4.4,12.5,5.8,1011.9,1008.2,77.0,89.0,68.0
FUERTEVENTURA,2021-07-11,25,150.33574984131226,263.08756222229647,338,27,7.988165680473373,7.186271004647837,9,2,2,84,0,5,0,0,26.2,0.0,20.1,32.3,99.0,4.7,12.5,6.0,1014.0,1008.4,69.0,89.0,48.0
LA PALMA,2021-07-12,16,129.40640801361164,135.39744542164922,361,18,4.986149584487535,5.788982259570495,29,0,1,126,0,4,0,0,25.4,0.0,21.7,29.0,2.0,4.4,9.7,9.3,1016.2,1010.3,66.0,90.0,40.0
GRAN CANARIA,2021-07-12,195,108.35502576792388,160.60388932591954,2461,230,9.345794392523365,7.718943875342664,227,5,39,1684,6,76,0,15,27.2,0.0,22.9,31.4,1.0,8.1,13.9,8.2,1014.3,1008.7,60.0,79.0,41.0
LA GOMERA,2021-07-12,3,64.5816034689547,78.42051849801642,65,3,4.615384615384615,10.106382978723405,4,0,1,21,0,0,0,0,28.8,0.0,21.4,36.1,26.0,1.4,6.7,9.5,993.5,988.5,68.0,89.0,45.0
FUERTEVENTURA,2021-07-12,16,164.53412621521397,282.29713025757525,316,17,5.379746835443038,7.697690692792162,18,0,1,97,0,2,0,0,26.9,0.0,22.8,31.0,99.0,6.4,11.4,8.6,1016.7,1011.2,63.0,88.0,46.0
TENERIFE,2021-07-12,276,195.1316169217449,357.3105435686256,3264,330,10.110294117647058,10.133779264214049,248,25,129,1650,24,65,0,12,27.1,0.0,23.4,30.8,8.0,2.8,7.8,10.7,1016.2,1010.4,67.0,79.0,49.0
EL HIERRO,2021-07-12,0,116.62330671929668,251.18866062617744,43,0,0.0,6.818181818181818,2,0,0,13,0,0,0,0,23.6,0.0,21.8,25.3,30.0,5.0,13.3,7.0,1016.6,1011.6,86.0,92.0,71.0
LANZAROTE,2021-07-12,15,21.82116910122455,46.85133365851154,375,16,4.266666666666667,1.918047079337402,33,0,1,169,0,1,0,3,30.6,0.0,22.6,38.7,35.0,7.8,16.4,10.6,1016.9,1011.7,41.0,75.0,27.0
EL HIERRO,2021-07-13,1,107.65228312550462,251.18866062617744,22,0,0.0,5.791505791505792,4,0,0,16,0,0,0,0,23.3,0.0,21.5,25.1,33.0,7.2,15.3,7.0,1016.3,1014.3,83.0,90.0,73.0
TENERIFE,2021-07-13,317,203.31594522530597,372.3869378120275,3226,371,11.500309981401116,10.58489111582193,228,18,131,1640,28,51,0,9,26.2,0.0,23.8,28.5,5.0,3.3,8.9,11.5,1016.0,1012.4,56.0,71.0,38.0
FUERTEVENTURA,2021-07-13,43,160.3581331640664,280.62673303711625,553,56,10.126582278481012,7.458563535911602,15,0,1,91,0,1,0,0,24.5,0.0,22.6,26.4,99.0,6.9,12.5,10.0,1016.1,1012.1,73.0,78.0,51.0
LA PALMA,2021-07-13,13,148.57772771933188,153.37055764576195,440,14,3.181818181818182,5.994897959183674,12,1,2,132,0,4,0,0,23.8,0.0,21.4,26.1,3.0,6.4,11.7,9.8,1016.0,1014.3,74.0,85.0,59.0
LANZAROTE,2021-07-13,22,25.030164557286987,53.9111236618489,478,27,5.648535564853557,2.111746590409151,27,0,1,155,0,2,0,2,25.2,0.0,20.5,29.8,36.0,11.4,18.9,11.4,1016.2,1013.0,63.0,83.0,45.0
GRAN CANARIA,2021-07-13,221,121.91401496865652,178.48772853033415,3043,254,8.347025961222478,8.194936019602505,266,19,54,1716,6,83,0,19,26.0,0.0,22.6,29.5,36.0,12.8,20.0,10.5,1014.0,1010.6,52.0,76.0,24.0
LA GOMERA,2021-07-13,2,78.42051849801642,78.42051849801642,37,4,10.81081081081081,9.649122807017545,5,0,0,23,0,0,0,0,26.0,0.0,22.0,30.0,23.0,2.2,6.7,7.5,993.5,990.2,66.0,91.0,50.0
LA PALMA,2021-07-14,12,155.76697260897697,167.7490474250521,368,12,3.260869565217391,5.591235360785795,26,0,1,141,0,4,0,0,22.8,0.0,20.7,25.0,99.0,7.2,11.4,11.5,1015.0,1011.2,76.0,84.0,68.0
LA GOMERA,2021-07-14,5,83.03349017437033,87.64646185072424,39,4,10.256410256410255,10.548523206751057,1,1,1,20,0,0,0,0,24.0,0.0,21.1,26.8,23.0,3.1,5.3,11.7,991.9,987.6,69.0,89.0,58.0
LANZAROTE,2021-07-14,20,36.58254819911175,65.46350730367365,483,25,5.175983436853002,2.978537012702585,33,1,1,165,0,1,0,2,24.3,0.0,19.9,28.7,36.0,12.2,18.6,12.5,1014.3,1010.4,65.0,84.0,48.0
GRAN CANARIA,2021-07-14,249,133.0183595727048,196.9560069244355,3133,296,9.44781359719119,8.434353152459753,223,6,48,1694,6,77,0,13,25.2,0.0,21.2,29.1,99.0,12.8,18.9,11.6,1011.4,1007.6,48.0,77.0,19.0
EL HIERRO,2021-07-14,0,116.62330671929668,260.1596842199695,31,0,0.0,6.578947368421052,1,0,0,16,0,0,0,0,22.4,0.0,21.1,23.8,99.0,8.9,14.4,8.0,1015.2,1011.3,81.0,86.0,75.0
TENERIFE,2021-07-14,387,216.5616344534376,383.58654496426897,3924,461,11.74821610601427,10.9625164814466,232,26,134,1602,34,56,0,12,27.4,0.0,23.5,31.3,6.0,3.9,10.3,12.5,1013.7,1009.8,39.0,57.0,25.0
FUERTEVENTURA,2021-07-14,32,176.22690675842716,298.165903851936,551,38,6.896551724137931,8.240081383519838,20,1,2,95,0,1,0,0,24.6,0.0,21.2,28.1,1.0,8.6,12.8,11.4,1012.8,1009.3,62.0,74.0,47.0
LA GOMERA,2021-07-15,2,101.48537687978596,110.71132023249378,61,2,3.278688524590164,11.475409836065571,3,0,0,23,0,0,0,0,22.6,0.0,20.3,25.0,14.0,2.5,6.1,10.7,990.0,987.6,80.0,90.0,71.0
TENERIFE,2021-07-15,404,225.28440540854876,399.632135980461,3839,466,12.1385777546236,11.255012213670092,217,21,137,1557,35,56,0,9,25.7,0.0,21.3,30.1,30.0,3.1,8.1,12.8,1011.0,1008.8,57.0,74.0,38.0
LANZAROTE,2021-07-15,24,48.13493184093652,73.1650963982235,408,27,6.617647058823529,3.548387096774194,26,0,1,162,0,2,0,1,24.0,0.0,19.6,28.4,2.0,9.2,16.1,12.6,1012.3,1010.4,65.0,86.0,50.0
GRAN CANARIA,2021-07-15,272,145.05780688025192,216.5931636979104,2869,300,10.456605088881144,8.613873247873487,233,9,47,1728,9,85,0,16,23.0,0.0,20.5,25.6,1.0,13.9,20.6,12.0,1009.8,1007.5,70.0,81.0,60.0
LA PALMA,2021-07-15,14,123.41537060557404,180.9293297227348,357,15,4.201680672268908,4.502459326522891,25,1,2,143,0,4,0,0,22.6,0.0,20.6,24.5,2.0,7.5,12.5,9.8,1012.1,1010.3,77.0,85.0,69.0
FUERTEVENTURA,2021-07-15,40,177.8973039788862,296.495506631477,526,49,9.315589353612168,8.378378378378379,16,1,2,92,1,1,0,0,23.0,0.0,20.5,25.4,99.0,7.5,11.7,11.8,1011.2,1009.5,77.0,83.0,67.0
EL HIERRO,2021-07-15,2,116.62330671929668,206.3335426572172,38,6,15.789473684210526,6.302521008403361,0,0,0,15,0,0,0,0,22.4,0.0,20.7,24.0,99.0,8.6,13.3,5.9,1013.0,1010.9,80.0,86.0,73.0
LA GOMERA,2021-07-16,4,101.48537687978596,119.9372635852016,73,4,5.47945205479452,9.621993127147766,2,0,0,20,0,0,0,0,22.8,0.0,20.1,25.5,23.0,2.8,6.7,11.0,990.9,987.5,77.0,93.0,65.0
LANZAROTE,2021-07-16,20,61.612712756398736,84.71748004004826,426,21,4.929577464788732,4.361493123772102,23,1,2,155,0,3,0,2,25.2,0.0,19.7,30.8,99.0,8.6,16.1,12.4,1012.9,1010.5,66.0,86.0,44.0
TENERIFE,2021-07-16,380,233.79179930303985,419.0160714362635,3611,441,12.212683467183606,11.234953187695051,137,16,146,1487,35,47,0,13,24.4,0.0,20.5,28.2,18.0,2.2,6.7,12.3,1011.6,1008.8,64.0,83.0,53.0
LA PALMA,2021-07-16,19,115.02791823432146,196.5060269836325,521,22,4.222648752399232,4.484492875104778,21,4,5,134,0,3,0,0,22.2,0.0,20.1,24.3,2.0,6.7,12.5,11.0,1012.6,1010.1,75.0,84.0,65.0
GRAN CANARIA,2021-07-16,242,159.08434743273398,239.15251641981905,3000,279,9.3,9.049044439327654,191,8,49,1654,9,82,0,12,24.2,0.0,20.1,28.3,2.0,11.7,18.1,12.0,1010.1,1007.6,68.0,83.0,43.0
EL HIERRO,2021-07-16,1,116.62330671929668,188.39149546963307,56,1,1.785714285714286,7.468879668049793,1,0,0,15,0,0,0,0,22.0,0.0,20.4,23.7,35.0,8.1,13.3,8.1,1013.4,1010.6,78.0,85.0,72.0
FUERTEVENTURA,2021-07-16,22,185.4140914709518,307.3530885644606,302,28,9.271523178807946,8.568646543330088,15,1,3,81,1,2,0,0,24.6,0.0,20.5,28.7,3.0,7.2,11.4,11.5,1011.7,1009.3,68.0,82.0,47.0
FUERTEVENTURA,2021-07-17,25,173.7213109277386,306.5178899542311,302,25,8.278145695364238,8.423545331529093,3,0,3,71,1,2,0,0,22.6,0.0,20.3,25.0,5.0,6.7,10.3,11.2,1013.0,1010.2,78.0,85.0,63.0
TENERIFE,2021-07-17,330,242.40688172784093,434.7385968615255,2854,380,13.314646110721794,11.514696795833702,124,20,186,1460,37,45,0,14,24.8,0.0,20.7,28.8,19.0,2.5,8.6,12.2,1013.1,1010.2,66.0,88.0,48.0
GRAN CANARIA,2021-07-17,256,172.17578528171722,259.60788805885534,2615,284,10.860420650095602,9.2505660794168,103,7,50,1625,9,77,0,4,23.8,0.0,20.1,27.6,99.0,12.8,18.1,11.9,1011.3,1008.6,69.0,83.0,54.0
LA PALMA,2021-07-17,14,122.21716312396654,219.2719691341753,406,16,3.940886699507389,4.309687261632342,7,0,5,133,0,2,0,0,22.2,0.0,20.1,24.4,3.0,7.2,11.7,10.9,1014.1,1011.1,79.0,88.0,70.0
LANZAROTE,2021-07-17,17,70.59790003337355,90.49367186096065,345,22,6.376811594202898,4.74040632054176,28,1,3,157,0,2,0,1,26.5,0.0,19.6,33.4,34.0,7.5,16.1,12.2,1013.7,1011.3,62.0,87.0,36.0
LA GOMERA,2021-07-17,0,87.64646185072424,138.3891502906172,63,0,0.0,6.752411575562701,0,0,0,15,0,0,0,0,23.0,0.0,19.4,26.6,23.0,1.7,7.8,11.3,991.6,988.5,71.0,93.0,60.0
EL HIERRO,2021-07-17,3,80.73921234412846,179.42047187584103,34,3,8.823529411764707,5.217391304347826,2,0,0,13,0,0,0,0,22.9,0.0,20.7,25.1,34.0,8.9,15.3,8.6,1014.4,1011.6,81.0,87.0,69.0
LA GOMERA,2021-07-18,4,87.64646185072424,138.3891502906172,33,4,12.12121212121212,5.865921787709497,4,0,0,18,0,0,0,0,27.1,0.0,20.8,33.4,18.0,1.9,5.6,11.5,991.6,989.0,52.0,92.0,24.0
LA PALMA,2021-07-18,22,119.82074816075152,236.04687387668048,262,23,8.778625954198473,3.995601173020528,9,0,5,140,0,2,0,0,23.2,0.0,20.4,26.0,2.0,6.1,10.8,11.5,1013.9,1011.9,79.0,90.0,70.0
TENERIFE,2021-07-18,294,251.45271827388208,444.4305645894267,2357,337,14.29783623249894,11.952173721921843,134,21,175,1525,37,51,0,15,27.2,0.0,22.0,32.3,18.0,1.7,6.1,12.3,1013.1,1010.7,46.0,82.0,34.0
GRAN CANARIA,2021-07-18,212,182.4619150202041,283.21923132220013,1944,241,12.397119341563783,9.467864547339325,118,12,62,1611,10,80,0,2,26.0,0.0,21.4,30.5,99.0,11.4,16.1,11.5,1011.0,1008.8,51.0,82.0,30.0
LANZAROTE,2021-07-18,10,77.6576900367109,98.83706004672295,342,12,3.508771929824561,5.112400290065264,24,0,3,167,0,2,0,3,29.0,0.0,21.9,36.1,34.0,10.3,18.1,12.0,1013.2,1010.3,46.0,82.0,27.0
EL HIERRO,2021-07-18,2,62.79716515654436,206.3335426572172,3,1,33.333333333333336,4.385964912280702,1,0,0,14,0,0,0,0,23.0,0.0,21.0,24.9,34.0,7.5,13.3,7.3,1014.3,1012.5,84.0,89.0,76.0
FUERTEVENTURA,2021-07-18,19,169.54531787659104,319.8810677179033,243,22,9.053497942386832,8.310249307479225,11,0,2,77,2,2,0,0,27.2,0.0,22.6,31.7,1.0,3.3,11.7,11.2,1012.3,1010.3,57.0,71.0,38.0
LA GOMERA,2021-07-19,13,92.25943352707814,156.84103699603284,107,13,12.149532710280374,5.660377358490566,2,0,0,17,0,0,0,0,25.7,0.0,21.2,30.2,23.0,1.7,6.1,11.6,991.4,988.8,53.0,88.0,27.0
LA PALMA,2021-07-19,13,131.80282297682666,261.2092309904383,357,17,4.761904761904762,4.419889502762431,20,3,5,141,2,3,0,0,22.6,0.0,20.8,24.3,99.0,6.7,11.4,9.5,1013.8,1011.0,81.0,91.0,73.0
TENERIFE,2021-07-19,343,257.16021038031283,452.2918273020577,3882,417,10.741885625965995,12.073672806067172,228,22,187,1569,34,60,0,16,27.4,0.0,22.9,31.8,20.0,3.6,8.9,12.3,1012.6,1009.6,49.0,81.0,28.0
EL HIERRO,2021-07-19,0,80.73921234412846,197.36251906342517,59,1,1.694915254237288,4.845814977973569,1,0,0,13,0,0,0,0,22.6,0.0,21.2,24.0,34.0,8.1,13.9,8.0,1014.4,1011.8,84.0,91.0,77.0
FUERTEVENTURA,2021-07-19,17,164.53412621521397,329.06825243042795,269,21,7.806691449814126,8.413891872538489,22,1,3,76,2,2,0,0,28.2,0.0,23.7,32.6,99.0,5.3,11.7,11.4,1011.9,1009.4,52.0,71.0,29.0
LANZAROTE,2021-07-19,13,82.15028367519831,103.97145277642286,500,14,2.8,5.250262513125656,20,0,3,168,0,1,0,2,27.8,0.0,20.6,34.9,34.0,10.0,18.9,12.2,1012.8,1010.1,56.0,84.0,31.0
GRAN CANARIA,2021-07-19,243,192.5142690828162,300.86929485074006,2793,267,9.559613319011817,9.88198269079465,214,9,58,1683,11,89,0,15,25.8,0.0,21.2,30.4,2.0,10.8,16.4,12.0,1011.4,1008.8,54.0,81.0,17.0
LANZAROTE,2021-07-20,13,80.86668549277334,105.89685005006032,448,14,3.125,4.963112005365526,24,0,3,170,0,1,0,1,24.4,0.0,19.7,29.2,99.0,7.2,18.9,11.5,1015.7,1011.5,64.0,85.0,47.0
GRAN CANARIA,2021-07-20,317,198.12488530380904,320.0389002724655,3197,362,11.323115420706912,9.903593339176162,223,13,57,1717,13,93,0,16,23.0,0.0,20.2,25.9,99.0,13.3,18.6,12.0,1012.9,1009.7,70.0,84.0,60.0
FUERTEVENTURA,2021-07-20,37,165.3693248254435,325.7274579895099,596,40,6.711409395973154,8.703568827385288,20,1,2,78,2,4,0,0,23.2,0.0,20.6,25.8,2.0,7.2,13.3,11.3,1014.3,1011.0,75.0,82.0,57.0
LA GOMERA,2021-07-20,9,138.3891502906172,216.80966878863364,70,9,12.857142857142858,7.506053268765133,2,0,0,17,0,0,0,0,22.6,0.0,20.1,25.2,23.0,2.5,5.6,10.8,993.3,989.0,81.0,95.0,70.0
EL HIERRO,2021-07-20,0,80.73921234412846,188.39149546963307,61,0,0.0,4.938271604938271,2,0,0,12,0,0,0,0,22.6,0.0,20.9,24.3,36.0,8.6,13.9,8.6,1016.0,1012.4,78.0,87.0,68.0
LA PALMA,2021-07-20,18,128.20820053200413,276.785928251336,457,23,5.032822757111598,4.389524160826263,20,2,5,132,2,2,0,0,22.4,0.0,20.9,23.8,99.0,7.5,11.7,4.1,1015.3,1011.8,75.0,84.0,67.0
TENERIFE,2021-07-20,440,264.3753419110837,467.6912871363897,3986,524,13.146011038635224,12.12594437175537,224,28,196,1584,34,58,0,12,25.0,0.0,21.5,28.5,8.0,3.1,8.6,12.4,1014.2,1010.6,60.0,84.0,48.0
LA PALMA,2021-07-21,11,134.19923794004168,289.9662105490187,452,14,3.097345132743363,4.69208211143695,21,2,3,128,5,1,0,0,23.1,0.0,20.9,25.3,99.0,8.3,15.3,9.2,1015.9,1013.6,69.0,85.0,61.0
GRAN CANARIA,2021-07-21,329,209.34611774579463,342.3644773184995,3288,405,12.317518248175183,10.377985780778475,226,7,57,1719,16,85,0,17,23.3,0.0,20.4,26.2,99.0,13.9,21.1,11.2,1013.0,1011.0,61.0,75.0,51.0
LANZAROTE,2021-07-21,23,75.09049367186095,111.67304187097272,488,26,5.327868852459017,4.573170731707317,30,0,2,170,0,0,0,0,23.3,0.0,19.3,27.3,36.0,9.4,18.9,12.2,1015.8,1013.0,63.0,79.0,50.0
TENERIFE,2021-07-21,516,277.6210311392154,494.18266559265305,4743,622,13.114062829432848,12.374759743180796,244,28,206,1590,34,57,0,11,24.4,0.0,20.3,28.6,30.0,5.3,16.1,12.5,1015.1,1012.5,56.0,71.0,40.0
FUERTEVENTURA,2021-07-21,23,160.3581331640664,336.5850399224936,541,26,4.805914972273568,7.9956973825744,18,0,1,81,2,4,0,0,24.1,0.0,20.1,28.1,1.0,9.7,16.1,11.8,1014.5,1012.0,62.0,79.0,49.0
EL HIERRO,2021-07-21,1,71.7681887503364,188.39149546963307,34,2,5.882352941176471,4.25531914893617,1,0,0,10,0,0,0,0,23.0,0.0,20.9,25.2,99.0,8.6,14.4,5.4,1017.0,1014.5,71.0,84.0,61.0
LA GOMERA,2021-07-21,9,170.67995202509456,253.7134421994649,109,9,8.256880733944953,8.071748878923767,2,0,0,16,0,0,0,0,22.8,0.0,20.6,25.1,23.0,3.1,9.7,11.5,994.2,991.3,71.0,89.0,61.0
FUERTEVENTURA,2021-07-22,36,152.8413456720008,330.738649650887,417,42,10.071942446043163,7.592659229938827,18,0,3,81,1,4,0,0,24.8,0.0,20.9,28.7,35.0,10.3,16.1,10.3,1013.4,1009.9,62.0,76.0,51.0
EL HIERRO,2021-07-22,5,80.73921234412846,197.36251906342517,68,5,7.352941176470588,4.912280701754386,1,1,1,9,0,0,0,0,22.9,0.0,21.1,24.7,99.0,10.8,18.1,8.0,1016.6,1013.0,77.0,84.0,66.0
LA GOMERA,2021-07-22,17,189.1318387305102,290.61721561029617,368,17,4.619565217391305,7.945736434108527,4,1,1,16,0,0,0,0,23.2,0.0,19.1,27.3,36.0,3.1,18.1,11.8,993.7,989.3,72.0,86.0,30.0
LANZAROTE,2021-07-22,20,77.01589094549843,125.15082278643492,419,25,5.966587112171838,4.599256002705444,25,0,2,169,0,1,0,0,24.0,0.0,20.2,27.9,99.0,11.9,18.1,11.5,1014.4,1010.6,67.0,82.0,54.0
GRAN CANARIA,2021-07-22,356,218.6971447807827,363.7549516610346,3433,402,11.709874745120883,10.849487465746472,224,11,53,1737,17,89,0,15,25.4,0.0,20.7,30.0,99.0,14.2,21.7,12.2,1012.7,1008.1,51.0,72.0,21.0
TENERIFE,2021-07-22,512,291.5128515492072,516.797256957756,4301,597,13.8804929086259,12.610794555239,212,30,210,1587,33,52,0,7,24.8,0.0,21.0,28.7,31.0,6.7,17.2,12.1,1014.7,1010.7,52.0,69.0,39.0
LA PALMA,2021-07-22,24,133.00103045843417,256.41640106400826,352,25,7.102272727272728,4.623044096728307,17,2,5,131,5,2,0,0,22.1,0.0,20.3,23.9,3.0,10.8,21.1,11.4,1015.4,1012.1,74.0,82.0,60.0
EL HIERRO,2021-07-23,1,107.65228312550462,224.2755898448013,99,1,1.01010101010101,4.126984126984127,0,0,1,6,0,0,0,0,23.8,0.2,21.6,25.9,30.0,9.4,16.1,5.1,1014.4,1011.1,80.0,95.0,62.0
TENERIFE,2021-07-23,455,303.14321282268867,536.9350121257285,4586,535,11.66593981683384,12.8934483562602,219,29,211,1471,38,50,0,11,25.9,0.0,22.7,29.1,32.0,4.7,14.7,11.9,1012.3,1009.1,57.0,68.0,47.0
LA PALMA,2021-07-23,38,144.98310527450934,260.0110235088308,500,41,8.2,4.987531172069826,10,0,27,103,5,2,0,0,23.4,0.0,21.6,25.3,2.0,10.0,16.4,11.1,1013.4,1010.4,75.0,85.0,62.0
FUERTEVENTURA,2021-07-23,20,149.50055123108274,334.91464270203454,389,26,6.683804627249358,7.640449438202247,18,1,2,76,2,4,0,0,25.6,0.0,21.8,29.3,34.0,9.4,15.3,9.7,1010.9,1007.8,66.0,77.0,52.0
LA GOMERA,2021-07-23,7,258.3264138758188,359.8117907556048,144,8,5.555555555555555,6.804374240583232,3,1,2,18,0,0,0,0,24.0,0.0,20.2,27.7,35.0,3.1,15.6,12.0,990.8,987.5,64.0,81.0,44.0
LANZAROTE,2021-07-23,13,74.44869458064848,136.0614073370472,364,13,3.571428571428572,4.514824797843666,24,0,2,159,0,2,0,1,24.6,0.0,21.0,28.2,1.0,12.5,21.1,10.8,1011.3,1008.6,69.0,83.0,54.0
GRAN CANARIA,2021-07-23,323,228.51572316752012,387.6000706002541,3068,367,11.96219035202086,11.05081401085348,189,14,57,1649,18,78,0,17,25.5,0.0,22.3,28.7,35.0,14.2,22.8,11.4,1009.6,1006.8,54.0,74.0,22.0
GRAN CANARIA,2021-07-24,314,237.98363804044556,410.1594233221628,2788,345,12.374461979913915,11.446553250073752,102,22,72,1606,19,75,0,4,23.9,0.0,21.4,26.4,36.0,13.3,19.7,10.7,1010.9,1006.9,68.0,80.0,55.0
LA PALMA,2021-07-24,8,167.7490474250521,289.9662105490187,437,8,1.830663615560641,5.70710696338837,5,2,23,100,6,2,0,0,22.9,0.0,21.1,24.7,2.0,8.3,13.9,7.8,1013.6,1010.6,79.0,83.0,70.0
LA GOMERA,2021-07-24,7,272.16532890488054,359.8117907556048,141,9,6.382978723404255,6.711409395973154,1,0,2,17,0,0,0,0,23.1,0.0,20.5,25.7,22.0,2.5,7.8,10.1,991.4,987.8,78.0,86.0,64.0
TENERIFE,2021-07-24,367,311.2198525959397,553.6267343237806,3111,433,13.918354226936676,12.77472013179078,130,33,233,1447,39,41,0,10,25.7,0.0,22.6,28.8,9.0,3.6,9.4,11.0,1012.8,1009.1,53.0,68.0,42.0
FUERTEVENTURA,2021-07-24,37,147.83015401062372,321.5514649383624,272,38,13.970588235294118,7.326804497642365,14,0,2,79,2,4,0,0,24.6,0.0,22.2,27.0,35.0,7.8,13.3,6.1,1012.8,1007.8,69.0,82.0,60.0
LANZAROTE,2021-07-24,20,69.95610094216107,140.55400097553462,274,26,9.489051094890511,4.335856847900895,24,0,2,156,0,2,0,0,24.6,0.0,21.1,28.1,34.0,10.8,23.3,8.2,1013.7,1007.6,68.0,84.0,54.0
EL HIERRO,2021-07-24,0,107.65228312550462,188.39149546963307,77,0,0.0,3.631284916201117,2,0,1,7,0,0,0,0,22.8,0.0,21.4,24.3,36.0,7.2,13.3,7.9,1014.1,1011.3,80.0,86.0,72.0
EL HIERRO,2021-07-25,0,80.73921234412846,143.5363775006728,5,0,0.0,2.493765586034913,1,0,1,7,0,0,0,0,23.0,0.0,21.4,24.7,32.0,8.1,14.4,8.4,1015.7,1013.0,77.0,86.0,70.0
FUERTEVENTURA,2021-07-25,16,157.85253733337788,327.3978552099689,163,20,12.269938650306749,7.884121745507884,11,1,3,82,2,5,0,0,24.5,0.0,21.4,27.6,5.0,7.2,11.4,10.4,1013.6,1010.7,69.0,79.0,53.0
LANZAROTE,2021-07-25,18,71.88149821579853,149.53918825250943,263,22,8.365019011406844,4.585537918871252,15,0,2,162,0,1,0,0,24.8,0.0,20.6,29.0,99.0,11.9,18.9,11.8,1014.9,1011.5,67.0,85.0,48.0
LA GOMERA,2021-07-25,0,304.45613063935787,392.1025924900821,15,0,0.0,7.098765432098766,1,0,2,18,0,0,0,0,22.5,0.0,19.6,25.4,21.0,1.4,7.8,9.7,992.8,989.2,80.0,94.0,72.0
GRAN CANARIA,2021-07-25,215,244.76313264081185,427.225047661016,1988,232,11.670020120724343,11.647408707522793,114,18,83,1662,22,76,0,6,23.9,0.0,20.7,27.1,1.0,13.3,18.9,11.0,1012.3,1009.4,68.0,83.0,37.0
LA PALMA,2021-07-25,4,160.55980253540704,280.38055069615854,222,5,2.252252252252252,5.360312389066383,9,1,23,105,7,2,0,0,22.9,0.0,21.0,24.8,2.0,7.2,13.9,10.5,1014.9,1012.1,75.0,83.0,69.0
TENERIFE,2021-07-25,291,315.2043282174102,566.6570464912922,2340,335,14.316239316239315,12.849514203070534,133,30,258,1484,42,44,0,11,25.6,0.0,21.6,29.5,10.0,2.8,8.6,11.9,1013.6,1011.0,54.0,70.0,39.0
GRAN CANARIA,2021-07-26,257,245.1137961546239,437.6280652374401,2680,305,11.380597014925373,11.578691315981512,213,14,86,1679,20,78,0,14,24.1,0.0,21.1,27.1,1.0,13.6,20.6,12.2,1011.8,1009.3,72.0,89.0,38.0
LANZAROTE,2021-07-26,9,77.01589094549843,159.16617462069675,443,10,2.257336343115124,5.079825834542816,24,0,2,160,0,0,0,0,24.6,0.0,20.6,28.5,99.0,10.0,16.4,10.2,1014.5,1011.8,69.0,86.0,56.0
FUERTEVENTURA,2021-07-26,13,155.34694150268933,319.8810677179033,211,17,8.056872037914692,8.046845485455233,11,0,2,71,2,6,0,0,24.4,0.0,21.1,27.6,2.0,8.1,13.3,11.9,1013.1,1010.7,75.0,85.0,59.0
LA GOMERA,2021-07-26,1,286.00424393394223,378.2636774610204,91,2,2.197802197802198,6.813417190775682,1,0,1,18,0,0,0,0,22.4,0.0,19.4,25.3,23.0,2.5,8.3,11.6,992.4,989.6,81.0,95.0,65.0
EL HIERRO,2021-07-26,1,62.79716515654436,143.5363775006728,69,2,2.898550724637681,2.233250620347395,2,0,1,8,0,0,0,0,23.1,0.0,21.3,24.9,35.0,9.4,15.3,1.0,1015.6,1013.1,83.0,93.0,75.0
