fecha,isla,numero_casos,pcr_total,Urg_cv,HPT_cv19,CCR_cv19,tmin,tmed,presMax
2021-01-24,EL HIERRO,0,4,0,2,0,16.4,18.8,1020.3
2021-01-24,LA GOMERA,0,10,0,0,0,15.4,17.8,998.1
2021-01-24,TENERIFE,24,988,10,88,22,16.2,19.0,1020.0
2021-01-24,LA PALMA,0,41,0,0,0,16.0,18.8,1019.2
2021-01-24,GRAN CANARIA,126,1849,8,99,33,15.7,18.6,1018.7
2021-01-24,FUERTEVENTURA,1,261,2,4,1,15.4,18.3,1020.4
2021-01-24,LANZAROTE,73,716,14,48,13,15.0,19.6,1021.5
2021-01-25,LA PALMA,0,120,0,0,0,15.5,18.0,1020.3
2021-01-25,TENERIFE,68,1936,9,85,21,16.0,19.0,1021.0
2021-01-25,EL HIERRO,1,13,1,3,0,17.1,19.1,1021.3
2021-01-25,LANZAROTE,47,652,7,49,14,15.0,19.0,1022.4
2021-01-25,GRAN CANARIA,100,2496,15,105,36,16.1,18.8,1019.5
2021-01-25,FUERTEVENTURA,9,199,3,7,1,15.1,18.4,1021.3
2021-01-25,LA GOMERA,0,16,0,0,0,15.6,18.2,998.8
2021-01-26,GRAN CANARIA,154,2552,7,101,36,17.3,19.4,1020.0
2021-01-26,EL HIERRO,1,116,0,3,0,18.2,19.2,1022.0
2021-01-26,LANZAROTE,90,970,8,52,14,15.9,19.8,1022.6
2021-01-26,FUERTEVENTURA,11,309,0,6,1,17.8,19.6,1021.4
2021-01-26,TENERIFE,73,2277,12,85,20,15.4,18.7,1021.9
2021-01-26,LA GOMERA,0,97,0,0,0,14.7,17.5,998.8
2021-01-26,LA PALMA,0,126,0,0,0,16.9,18.8,1021.5
2021-01-27,TENERIFE,38,2380,9,83,19,15.9,18.8,1019.7
2021-01-27,FUERTEVENTURA,12,546,3,9,0,15.7,18.0,1020.3
2021-01-27,LA PALMA,1,85,0,0,0,16.6,19.0,1019.5
2021-01-27,GRAN CANARIA,154,2443,10,96,36,16.6,19.4,1018.1
2021-01-27,LA GOMERA,0,20,0,0,0,14.6,18.0,997.3
2021-01-27,LANZAROTE,122,1011,4,48,14,12.5,17.4,1021.2
2021-01-27,EL HIERRO,6,51,0,3,0,18.2,19.8,1020.2
2021-01-28,LANZAROTE,69,778,6,43,17,13.3,19.6,1020.9
2021-01-28,FUERTEVENTURA,18,277,3,11,0,15.0,18.6,1019.7
2021-01-28,TENERIFE,53,1731,9,82,17,15.2,20.0,1018.8
2021-01-28,LA PALMA,2,90,0,0,0,15.8,18.2,1018.5
2021-01-28,LA GOMERA,0,22,0,0,0,16.0,21.2,997.4
2021-01-28,EL HIERRO,4,59,0,3,0,16.4,18.6,1019.7
2021-01-28,GRAN CANARIA,196,2958,18,101,38,13.8,19.3,1017.7
2021-01-29,FUERTEVENTURA,2,449,4,14,0,13.0,17.4,1021.8
2021-01-29,TENERIFE,68,1946,3,72,19,15.4,19.2,1021.1
2021-01-29,LA GOMERA,0,32,0,0,0,18.6,22.5,999.3
2021-01-29,LANZAROTE,81,893,6,35,18,11.1,17.2,1022.9
2021-01-29,LA PALMA,0,132,0,0,0,15.7,18.4,1021.4
2021-01-29,EL HIERRO,5,108,0,3,0,17.2,21.5,1022.2
2021-01-29,GRAN CANARIA,164,2610,16,103,38,16.0,20.1,1019.8
2021-01-30,LANZAROTE,67,590,5,41,17,13.0,17.8,1024.1
2021-01-30,GRAN CANARIA,144,2057,7,105,38,15.6,18.6,1020.9
2021-01-30,LA GOMERA,0,26,0,0,0,16.1,19.8,999.7
2021-01-30,EL HIERRO,0,4,0,1,0,17.5,19.6,1023.5
2021-01-30,TENERIFE,29,1595,4,72,20,15.8,19.1,1022.0
2021-01-30,LA PALMA,0,113,0,0,0,15.6,18.2,1022.6
2021-01-30,FUERTEVENTURA,8,470,1,13,1,16.5,18.6,1022.9
2021-01-31,LA PALMA,0,42,0,0,0,16.5,19.0,1022.4
2021-01-31,FUERTEVENTURA,3,92,3,16,1,16.5,20.1,1022.1
2021-01-31,GRAN CANARIA,99,1812,15,114,40,16.4,19.8,1020.3
2021-01-31,LA GOMERA,0,7,0,0,0,15.9,18.6,999.6
2021-01-31,LANZAROTE,34,485,1,40,18,15.9,19.4,1023.1
2021-01-31,EL HIERRO,0,7,2,3,0,18.2,19.4,1022.8
2021-01-31,TENERIFE,20,857,9,80,22,17.0,21.3,1022.0
2021-02-01,EL HIERRO,6,20,0,1,0,18.5,19.8,1020.4
2021-02-01,LANZAROTE,35,696,2,35,19,16.1,21.0,1019.5
2021-02-01,TENERIFE,47,1827,9,71,24,17.0,19.8,1019.3
2021-02-01,LA GOMERA,0,11,0,0,0,15.8,19.4,997.6
2021-02-01,LA PALMA,2,162,0,0,0,16.9,19.3,1019.6
2021-02-01,FUERTEVENTURA,6,164,3,15,1,16.1,18.9,1019.1
2021-02-01,GRAN CANARIA,148,2800,12,112,40,17.9,21.4,1017.4
2021-02-02,LA PALMA,0,142,0,0,0,16.2,18.2,1017.5
2021-02-02,TENERIFE,19,1198,10,86,25,15.6,18.4,1017.6
2021-02-02,LA GOMERA,0,34,0,0,0,16.4,18.9,995.4
2021-02-02,FUERTEVENTURA,11,341,1,13,2,17.6,18.8,1018.0
2021-02-02,GRAN CANARIA,113,2427,9,114,41,16.2,18.4,1016.1
2021-02-02,LANZAROTE,53,651,3,0,0,13.4,17.5,1019.2
2021-02-02,EL HIERRO,7,84,0,1,0,17.7,19.6,1018.4
2021-02-03,LANZAROTE,53,474,5,33,20,13.1,16.8,1018.1
2021-02-03,LA GOMERA,0,54,0,0,0,15.0,17.6,994.5
2021-02-03,FUERTEVENTURA,4,206,0,10,3,16.6,18.6,1016.7
2021-02-03,TENERIFE,51,2137,7,89,21,14.8,18.4,1015.9
2021-02-03,LA PALMA,10,190,0,0,0,16.4,17.8,1015.4
2021-02-03,GRAN CANARIA,107,2417,11,108,45,15.2,18.0,1014.7
2021-02-03,EL HIERRO,50,178,1,2,0,17.4,19.1,1016.7
2021-02-04,TENERIFE,57,2001,6,91,18,14.0,16.4,1011.7
2021-02-04,LA GOMERA,0,116,0,0,0,14.4,17.0,990.7
2021-02-04,EL HIERRO,3,85,0,2,0,13.9,16.5,1013.1
2021-02-04,FUERTEVENTURA,6,381,1,9,2,13.4,15.8,1012.2
