fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2021-02-21,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,1","0,0","16,9",Varias,"23,3",14:50,34,"2,8","14,7",00:10,"9,2","1017,4",24,"1010,3",00,56,78,03:20,41,14:10
2021-02-22,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,0","0,0","15,5",07:40,"22,4",16:30,29,"1,9","6,1",01:10,"7,8","1020,3",22,"1016,1",04,69,81,21:40,54,08:30
2021-02-23,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,0","0,0","15,6",07:30,"22,4",14:00,06,"3,6","9,2",16:40,"9,7","1021,4",11,"1018,6",04,65,78,Varias,55,14:00
2021-02-24,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,8",Ip,"16,1",01:50,"23,4",15:20,01,"2,8","9,2",11:30,"9,4","1022,4",23,"1018,5",05,58,75,02:10,47,Varias
2021-02-25,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,4","2,2","16,4",23:59,"20,3",15:40,02,"3,1","9,7",17:50,"5,6","1024,8",22,"1021,5",03,72,86,12:00,56,23:30
2021-02-26,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,6",Ip,"16,3",Varias,"21,0",14:30,34,"4,4","13,3",13:00,"9,1","1024,3",00,"1020,4",17,52,64,22:50,41,13:50
2021-02-27,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"17,4","0,8","14,9",06:20,"19,8",15:00,36,"3,9","12,8",15:50,"7,5","1021,2",00,"1014,4",24,57,72,06:20,44,16:20
2021-02-28,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,1","2,0","14,8",08:00,"21,4",14:10,30,"2,5","11,4",15:10,"8,8","1014,4",00,"1010,6",16,62,83,07:50,48,14:10
2021-03-01,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,2","0,2","15,9",07:20,"22,4",14:30,32,"3,9","11,1",02:00,"10,5","1016,8",Varias,"1012,0",05,59,82,07:40,41,16:20
2021-03-02,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,6","0,0","15,7",Varias,"21,5",Varias,88,,"9,4",15:24,"8,1","1019,1",Varias,"1015,9",05,,73,09:00,60,Varias
2021-03-03,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,0","0,0","15,5",05:10,"22,5",14:10,04,"3,6","9,2",14:20,"10,1","1019,4",10,"1016,3",17,61,72,Varias,47,16:10
