fecha_datos,codigo_centro,fecha,unidad_funcional,cv19,nocv19
30/06/2023,350173,19/05/2020,HPT,0,94
30/06/2023,350326,06/08/2020,CCR,0,0
30/06/2023,380086,15/11/2020,HPT,1,123
30/06/2023,380244,14/10/2020,HPT,1,17
30/06/2023,380244,19/06/2023,CSR,0,0
30/06/2023,380146,24/11/2022,CSR,0,4
30/06/2023,350154,16/10/2021,CCR,0,0
30/06/2023,350326,08/10/2020,CCR,0,0
30/06/2023,350367,25/04/2023,HPT,1,122
30/06/2023,350252,13/04/2023,CCR,0,2
30/06/2023,350290,11/04/2022,HPT,55,574
30/06/2023,350173,03/12/2021,CCR,0,4
30/06/2023,350252,05/07/2022,CCR,0,6
30/06/2023,380064,03/04/2021,HPT,0,88
30/06/2023,380103,28/03/2021,HPT,1,62
30/06/2023,350228,19/08/2021,CSR,0,0
30/06/2023,380146,18/09/2021,HPT,1,71
30/06/2023,380276,18/01/2021,CCR,0,0
30/06/2023,380223,03/08/2021,CSR,0,0
30/06/2023,380064,24/04/2023,CSR,0,0
30/06/2023,380146,06/02/2021,HPT,0,68
30/06/2023,350304,17/04/2023,HPT,0,27
30/06/2023,380282,30/06/2021,HPT,0,13
30/06/2023,380316,15/02/2022,CSR,0,0
30/06/2023,350154,31/12/2022,HPT,0,76
30/06/2023,380064,15/12/2022,CCR,0,5
30/06/2023,380012,03/10/2022,CCR,2,38
30/06/2023,350252,19/07/2021,CSR,0,0
30/06/2023,350326,27/08/2020,HPT,0,1
30/06/2023,380086,30/10/2022,CSR,0,1
30/06/2023,350332,14/04/2022,HPT,49,536
30/06/2023,350290,21/03/2021,HPT,60,533
30/06/2023,380146,14/03/2022,CCR,0,6
30/06/2023,380064,09/04/2020,CCR,0,3
30/06/2023,350304,30/06/2020,HPT,0,26
30/06/2023,350326,06/01/2023,CSR,0,1
30/06/2023,380064,06/03/2023,CCR,0,1
30/06/2023,350304,07/02/2021,HPT,2,29
30/06/2023,380086,17/04/2022,CCR,0,1
30/06/2023,380326,07/08/2022,CCR,5,34
30/06/2023,350252,23/07/2021,HPT,2,76
30/06/2023,350173,10/03/2022,CSR,0,10
30/06/2023,380282,10/08/2020,HPT,0,20
30/06/2023,380012,30/04/2022,CSR,0,0
30/06/2023,380244,23/06/2020,CCR,0,0
30/06/2023,380276,26/07/2021,CSR,0,0
30/06/2023,350120,01/04/2021,CSR,0,2
30/06/2023,380326,14/03/2022,HPT,48,519
30/06/2023,380244,01/04/2023,CCR,0,0
30/06/2023,350252,06/09/2021,CCR,1,7
30/06/2023,350290,12/07/2022,HPT,148,491
30/06/2023,350252,14/06/2023,CSR,0,0
30/06/2023,350228,08/11/2021,HPT,3,171
30/06/2023,350252,07/08/2020,CSR,0,0
30/06/2023,350367,22/01/2021,CCR,1,2
30/06/2023,350120,25/11/2021,CSR,0,6
30/06/2023,380295,26/12/2021,HPT,0,29
30/06/2023,350206,18/03/2022,CCR,0,0
30/06/2023,380326,01/02/2021,CCR,15,27
30/06/2023,380086,12/11/2022,HPT,0,95
30/06/2023,380295,13/09/2021,HPT,0,35
30/06/2023,350173,15/03/2021,CSR,0,10
30/06/2023,350154,02/11/2021,CSR,0,0
30/06/2023,380146,21/04/2021,CSR,0,3
30/06/2023,380064,27/10/2022,CSR,0,0
30/06/2023,380064,30/03/2023,CSR,0,0
30/06/2023,350326,07/08/2020,HPT,0,7
30/06/2023,350154,09/10/2021,CCR,0,0
30/06/2023,380282,19/06/2020,HPT,0,16
30/06/2023,350173,20/11/2022,HPT,0,102
30/06/2023,380282,20/11/2020,CSR,0,1
30/06/2023,380223,08/11/2021,HPT,0,159
30/06/2023,380326,15/03/2021,HPT,45,461
30/06/2023,350252,15/02/2022,CCR,0,8
30/06/2023,350252,03/08/2022,CCR,0,1
30/06/2023,380276,07/01/2021,CSR,0,0
30/06/2023,380276,22/02/2023,CSR,0,0
30/06/2023,380244,08/02/2022,CSR,0,0
30/06/2023,350332,16/10/2022,HPT,12,636
30/06/2023,380295,30/12/2021,CSR,0,1
30/06/2023,350304,16/10/2020,CCR,0,3
30/06/2023,350154,02/02/2023,HPT,0,83
30/06/2023,350304,18/01/2023,HPT,0,51
30/06/2023,380012,07/10/2021,CSR,0,0
30/06/2023,380244,27/03/2023,CCR,0,0
30/06/2023,350173,07/03/2021,CSR,0,0
30/06/2023,350206,08/07/2021,HPT,0,140
30/06/2023,380326,29/05/2021,HPT,15,491
30/06/2023,380012,19/04/2020,CSR,0,0
30/06/2023,350173,24/08/2021,HPT,0,87
30/06/2023,350304,10/09/2020,CSR,0,0
30/06/2023,350326,07/04/2020,HPT,0,2
30/06/2023,380244,09/09/2020,CSR,0,0
30/06/2023,380146,07/06/2023,CSR,0,4
30/06/2023,350290,27/09/2021,HPT,51,570
30/06/2023,350304,28/03/2020,CCR,1,0
30/06/2023,350304,07/08/2021,CSR,0,0
30/06/2023,350228,09/07/2020,CSR,0,0
30/06/2023,380064,28/12/2021,CCR,0,0
30/06/2023,350154,27/02/2022,CSR,0,0
30/06/2023,380146,16/11/2022,HPT,3,93
30/06/2023,380316,11/08/2020,CSR,0,0
30/06/2023,380146,17/02/2021,CSR,0,2
30/06/2023,380012,19/12/2020,CSR,0,0
30/06/2023,380086,18/03/2023,CSR,0,1
30/06/2023,380276,15/04/2021,HPT,0,10
30/06/2023,350154,28/05/2022,CSR,0,0
30/06/2023,380295,11/12/2020,HPT,0,47
30/06/2023,350367,14/01/2023,HPT,1,125
30/06/2023,350154,01/08/2021,HPT,0,71
30/06/2023,350206,14/05/2021,CCR,0,4
30/06/2023,380282,17/08/2021,CSR,0,2
30/06/2023,380244,11/04/2022,HPT,4,17
30/06/2023,350206,20/05/2022,CSR,0,0
30/06/2023,380146,04/06/2020,CSR,0,3
30/06/2023,350154,10/06/2023,HPT,0,76
30/06/2023,350228,24/01/2023,CSR,0,0
30/06/2023,380103,01/07/2021,HPT,0,68
30/06/2023,350332,13/12/2022,CCR,6,55
30/06/2023,380086,25/02/2023,CCR,0,1
30/06/2023,350290,05/03/2022,HPT,65,570
30/06/2023,380146,27/06/2020,CSR,0,0
30/06/2023,380316,20/12/2020,HPT,0,123
30/06/2023,350120,02/06/2020,CSR,0,3
30/06/2023,350228,24/09/2022,CSR,0,0
30/06/2023,350304,31/03/2023,CSR,0,0
30/06/2023,380223,25/03/2023,CCR,0,2
30/06/2023,380223,24/08/2022,CCR,0,3
30/06/2023,350173,17/06/2020,CCR,0,5
30/06/2023,380316,17/08/2020,CCR,0,6
30/06/2023,380086,01/05/2020,CSR,0,1
30/06/2023,350304,12/05/2020,CSR,0,0
